Cidade,Transportadora,Prazo,Capital/Interior
CAPAO ALTO,RODONAVES,SC,7,INTERIOR
CELSO RAMOS,RODONAVES,SC,9,INTERIOR
CERRO NEGRO,RODONAVES,SC,7,INTERIOR
CORREIA PINTO,RODONAVES,SC,5,INTERIOR
CURITIBANOS,RODONAVES,SC,5,INTERIOR
FREI ROGERIO,RODONAVES,SC,9,INTERIOR
LAGES,RODONAVES,SC,5,INTERIOR
OTACILIO COSTA,RODONAVES,SC,5,INTERIOR
PAINEL,RODONAVES,SC,5,INTERIOR
PALMEIRA,RODONAVES,SC,5,INTERIOR
PONTE ALTA,RODONAVES,SC,5,INTERIOR
PONTE ALTA DO NORTE,RODONAVES,SC,7,INTERIOR
RIO RUFINO,RODONAVES,SC,7,INTERIOR
SANTA CECILIA,RODONAVES,SC,7,INTERIOR
SAO CRISTOVAO DO SUL,RODONAVES,SC,7,INTERIOR
SAO JOAQUIM,RODONAVES,SC,5,INTERIOR
SAO JOSE DO CERRITO,RODONAVES,SC,7,INTERIOR
TIMBO GRANDE,RODONAVES,SC,9,INTERIOR
URUBICI,RODONAVES,SC,5,INTERIOR
URUPEMA,RODONAVES,SC,7,INTERIOR
BARRACAO,RODONAVES,RS,8,INTERIOR
CACIQUE DOBLE,RODONAVES,RS,8,INTERIOR
CAPAO BONITO DO SUL,RODONAVES,RS,10,INTERIOR
CASEIROS,RODONAVES,RS,7,INTERIOR
CIRIACO,RODONAVES,RS,9,INTERIOR
DAVID CANABARRO,RODONAVES,RS,9,INTERIOR
GUABIJU,RODONAVES,RS,9,INTERIOR
IBIRAIARAS,RODONAVES,RS,7,INTERIOR
LAGOA VERMELHA,RODONAVES,RS,5,INTERIOR
MACHADINHO,RODONAVES,RS,10,INTERIOR
MAXIMILIANO DE ALMEIDA,RODONAVES,RS,8,INTERIOR
MULITERNO,RODONAVES,RS,9,INTERIOR
PAIM FILHO,RODONAVES,RS,8,INTERIOR
SANANDUVA,RODONAVES,RS,7,INTERIOR
SANTO EXPEDITO DO SUL,RODONAVES,RS,10,INTERIOR
SAO DOMINGOS DO SUL,RODONAVES,RS,10,INTERIOR
SAO JOAO DA URTIGA,RODONAVES,RS,8,INTERIOR
SAO JORGE,RODONAVES,RS,9,INTERIOR
SAO JOSE DO OURO,RODONAVES,RS,8,INTERIOR
TUPANCI DO SUL,RODONAVES,RS,10,INTERIOR
VANINI,RODONAVES,RS,10,INTERIOR
ANTA GORDA,RODONAVES,RS,10,INTERIOR
ARROIO DO MEIO,RODONAVES,RS,6,INTERIOR
ARVOREZINHA,RODONAVES,RS,10,INTERIOR
BOM RETIRO DO SUL,RODONAVES,RS,8,INTERIOR
BOQUEIRAO DO LEAO,RODONAVES,RS,8,INTERIOR
CANUDOS DO VALE,RODONAVES,RS,10,INTERIOR
CAPITAO,RODONAVES,RS,10,INTERIOR
COLINAS,RODONAVES,RS,10,INTERIOR
COQUEIRO BAIXO,RODONAVES,RS,10,INTERIOR
CRUZEIRO DO SUL,RODONAVES,RS,6,INTERIOR
DOIS LAJEADOS,RODONAVES,RS,10,INTERIOR
DOUTOR RICARDO,RODONAVES,RS,10,INTERIOR
ENCANTADO,RODONAVES,RS,6,INTERIOR
ESTRELA,RODONAVES,RS,5,INTERIOR
FAZENDA VILANOVA,RODONAVES,RS,10,INTERIOR
FORQUETINHA,RODONAVES,RS,8,INTERIOR
GRAMADO XAVIER,RODONAVES,RS,10,INTERIOR
ILOPOLIS,RODONAVES,RS,10,INTERIOR
IMIGRANTE,RODONAVES,RS,10,INTERIOR
ITAPUCA,RODONAVES,RS,10,INTERIOR
LAJEADO,RODONAVES,RS,5,INTERIOR
MARQUES DE SOUZA,RODONAVES,RS,8,INTERIOR
MATO LEITAO,RODONAVES,RS,10,INTERIOR
MUCUM,RODONAVES,RS,7,INTERIOR
NOVA BRESCIA,RODONAVES,RS,10,INTERIOR
PAVERAMA,RODONAVES,RS,10,INTERIOR
POCO DAS ANTAS,RODONAVES,RS,10,INTERIOR
POUSO NOVO,RODONAVES,RS,10,INTERIOR
PROGRESSO,RODONAVES,RS,7,INTERIOR
PUTINGA,RODONAVES,RS,10,INTERIOR
RELVADO,RODONAVES,RS,10,INTERIOR
ROCA SALES,RODONAVES,RS,6,INTERIOR
SANTA CLARA DO SUL,RODONAVES,RS,8,INTERIOR
SAO VALENTIM DO SUL,RODONAVES,RS,10,INTERIOR
SERIO,RODONAVES,RS,10,INTERIOR
TABAI,RODONAVES,RS,10,INTERIOR
TAQUARI,RODONAVES,RS,10,INTERIOR
TEUTONIA,RODONAVES,RS,6,INTERIOR
TRAVESSEIRO,RODONAVES,RS,8,INTERIOR
VESPASIANO CORREA,RODONAVES,RS,10,INTERIOR
WESTFALIA,RODONAVES,RS,7,INTERIOR
IRACEMAPOLIS,RODONAVES,SP,4,INTERIOR
LIMEIRA,RODONAVES,SP,4,INTERIOR
ALTO ALEGRE,RODONAVES,SP,9,INTERIOR
AVAI,RODONAVES,SP,9,INTERIOR
AVANHANDAVA,RODONAVES,SP,6,INTERIOR
BALBINOS,RODONAVES,SP,9,INTERIOR
BARBOSA,RODONAVES,SP,9,INTERIOR
CAFELANDIA,RODONAVES,SP,6,INTERIOR
GETULINA,RODONAVES,SP,9,INTERIOR
GUAICARA,RODONAVES,SP,6,INTERIOR
GUAIMBE,RODONAVES,SP,9,INTERIOR
GUARANTA,RODONAVES,SP,6,INTERIOR
LINS,RODONAVES,SP,5,INTERIOR
LUIZIANIA,RODONAVES,SP,9,INTERIOR
PENAPOLIS,RODONAVES,SP,6,INTERIOR
PIRAJUI,RODONAVES,SP,6,INTERIOR
PRESIDENTE ALVES,RODONAVES,SP,9,INTERIOR
PROMISSAO,RODONAVES,SP,4,INTERIOR
SABINO,RODONAVES,SP,9,INTERIOR
ASSAI,RODONAVES,PR,6,INTERIOR
CONGONHINHAS,RODONAVES,PR,9,INTERIOR
CORNELIO PROCOPIO,RODONAVES,PR,5,INTERIOR
LEOPOLIS,RODONAVES,PR,6,INTERIOR
NOVA AMERICA DA COLINA,RODONAVES,PR,6,INTERIOR
NOVA FATIMA,RODONAVES,PR,6,INTERIOR
NOVA SANTA BARBARA,RODONAVES,PR,9,INTERIOR
RANCHO ALEGRE,RODONAVES,PR,6,INTERIOR
SANTA CECILIA DO PAVAO,RODONAVES,PR,7,INTERIOR
SANTA MARIANA,RODONAVES,PR,6,INTERIOR
SANTO ANTONIO DO PARAISO,RODONAVES,PR,7,INTERIOR
SAO JERONIMO DA SERRA,RODONAVES,PR,7,INTERIOR
SAO SEBASTIAO DA AMOREIRA,RODONAVES,PR,5,INTERIOR
SERTANEJA,RODONAVES,PR,6,INTERIOR
URAI,RODONAVES,PR,6,INTERIOR
BELA VISTA DO PARAISO,RODONAVES,PR,7,INTERIOR
CAMBE,RODONAVES,PR,5,INTERIOR
FLORESTOPOLIS,RODONAVES,PR,7,INTERIOR
IBIPORA,RODONAVES,PR,5,INTERIOR
JAGUAPITA,RODONAVES,PR,7,INTERIOR
JATAIZINHO,RODONAVES,PR,6,INTERIOR
LONDRINA,RODONAVES,PR,5,INTERIOR
PORECATU,RODONAVES,PR,7,INTERIOR
PRADO FERREIRA,RODONAVES,PR,7,INTERIOR
ROLANDIA,RODONAVES,PR,5,INTERIOR
SAO MARTINHO,RODONAVES,PR,7,INTERIOR
SERTANOPOLIS,RODONAVES,PR,5,INTERIOR
WARTA,RODONAVES,PR,7,INTERIOR
ALVORADA DO SUL,RODONAVES,PR,7,INTERIOR
ARAPUA,RODONAVES,PR,6,INTERIOR
ARIRANHA DO IVAI,RODONAVES,PR,6,INTERIOR
BORRAZOPOLIS,RODONAVES,PR,5,INTERIOR
CANDIDO DE ABREU,RODONAVES,PR,6,INTERIOR
CRUZMALTINA,RODONAVES,PR,5,INTERIOR
FAXINAL,RODONAVES,PR,5,INTERIOR
GRANDES RIOS,RODONAVES,PR,9,INTERIOR
GUARAVERA,RODONAVES,PR,9,INTERIOR
IRERE,RODONAVES,PR,7,INTERIOR
IVAIPORA,RODONAVES,PR,5,INTERIOR
JARDIM ALEGRE,RODONAVES,PR,5,INTERIOR
KALORE,RODONAVES,PR,6,INTERIOR
LAGOA,RODONAVES,PR,7,INTERIOR
LERROVILLE,RODONAVES,PR,9,INTERIOR
LIDIANOPOLIS,RODONAVES,PR,5,INTERIOR
LUNARDELLI,RODONAVES,PR,5,INTERIOR
MANOEL RIBAS,RODONAVES,PR,6,INTERIOR
MARUMBI,RODONAVES,PR,6,INTERIOR
MAUA DA SERRA,RODONAVES,PR,5,INTERIOR
MIRASELVA,RODONAVES,PR,7,INTERIOR
PAIQUERE,RODONAVES,PR,9,INTERIOR
PRIMEIRO DE MAIO,RODONAVES,PR,7,INTERIOR
RIO BRANCO DO IVAI,RODONAVES,PR,9,INTERIOR
ROSARIO DO IVAI,RODONAVES,PR,9,INTERIOR
TAMARANA,RODONAVES,PR,9,INTERIOR
MACHADO,RODONAVES,MG,5,INTERIOR
POCO FUNDO,RODONAVES,MG,5,INTERIOR
SERRANIA,RODONAVES,MG,6,INTERIOR
ANTONIO OLINTO,RODONAVES,PR,9,INTERIOR
BELA VISTA DO TOLDO,RODONAVES,SC,9,INTERIOR
CAMPO ALEGRE,RODONAVES,SC,8,INTERIOR
CAMPO DO TENENTE,RODONAVES,PR,9,INTERIOR
CANOINHAS,RODONAVES,SC,5,INTERIOR
ITAIOPOLIS,RODONAVES,SC,7,INTERIOR
MAFRA,RODONAVES,SC,5,INTERIOR
MAJOR VIEIRA,RODONAVES,SC,9,INTERIOR
MONTE CASTELO,RODONAVES,SC,9,INTERIOR
PAPANDUVA,RODONAVES,SC,7,INTERIOR
PIEN,RODONAVES,PR,8,INTERIOR
RIO NEGRINHO,RODONAVES,SC,5,INTERIOR
RIO NEGRO,RODONAVES,PR,7,INTERIOR
SAO BENTO DO SUL,RODONAVES,SC,5,INTERIOR
SAO JOAO DO TRIUNFO,RODONAVES,PR,9,INTERIOR
SAO MATEUS DO SUL,RODONAVES,PR,9,INTERIOR
TRES BARRAS,RODONAVES,SC,6,INTERIOR
ALVARO DE CARVALHO,RODONAVES,SP,9,INTERIOR
FERNAO,RODONAVES,SP,9,INTERIOR
GALIA,RODONAVES,SP,9,INTERIOR
GARCA,RODONAVES,SP,5,INTERIOR
JULIO MESQUITA,RODONAVES,SP,9,INTERIOR
LUTECIA,RODONAVES,SP,9,INTERIOR
MARILIA,RODONAVES,SP,4,INTERIOR
ORIENTE,RODONAVES,SP,6,INTERIOR
OSCAR BRESSANE,RODONAVES,SP,9,INTERIOR
PAULOPOLIS,RODONAVES,SP,6,INTERIOR
POMPEIA,RODONAVES,SP,5,INTERIOR
QUINTANA,RODONAVES,SP,7,INTERIOR
VERA CRUZ,RODONAVES,SP,6,INTERIOR
ALTO ALEGRE,RODONAVES,PR,6,INTERIOR
ANGULO,RODONAVES,PR,6,INTERIOR
ASTORGA,RODONAVES,PR,6,INTERIOR
ATALAIA,RODONAVES,PR,7,INTERIOR
BOM SUCESSO,RODONAVES,PR,7,INTERIOR
CAFEARA,RODONAVES,PR,7,INTERIOR
CENTENARIO DO SUL,RODONAVES,PR,7,INTERIOR
COLORADO,RODONAVES,PR,6,INTERIOR
DOUTOR CAMARGO,RODONAVES,PR,7,INTERIOR
FLORESTA,RODONAVES,PR,7,INTERIOR
FLORIDA,RODONAVES,PR,6,INTERIOR
GODOY MOREIRA,RODONAVES,PR,7,INTERIOR
GUARACI,RODONAVES,PR,7,INTERIOR
IGUARACU,RODONAVES,PR,6,INTERIOR
ITAGUAJE,RODONAVES,PR,7,INTERIOR
ITAMBE,RODONAVES,PR,7,INTERIOR
IVATUBA,RODONAVES,PR,7,INTERIOR
JANDAIA DO SUL,RODONAVES,PR,5,INTERIOR
LOBATO,RODONAVES,PR,6,INTERIOR
LUPIONOPOLIS,RODONAVES,PR,7,INTERIOR
MANDAGUACU,RODONAVES,PR,6,INTERIOR
MANDAGUARI,RODONAVES,PR,5,INTERIOR
MARIALVA,RODONAVES,PR,5,INTERIOR
MARINGA,RODONAVES,PR,5,INTERIOR
MUNHOZ DE MELO,RODONAVES,PR,6,INTERIOR
NOSSA SENHORA DAS GRACAS,RODONAVES,PR,7,INTERIOR
OURIZONA,RODONAVES,PR,7,INTERIOR
PAICANDU,RODONAVES,PR,5,INTERIOR
PARANACITY,RODONAVES,PR,5,INTERIOR
PITANGUEIRAS,RODONAVES,PR,7,INTERIOR
SANTA FE,RODONAVES,PR,6,INTERIOR
SANTA INES,RODONAVES,PR,7,INTERIOR
SANTO INACIO,RODONAVES,PR,7,INTERIOR
SAO JOAO DO IVAI,RODONAVES,PR,7,INTERIOR
SAO JORGE DO IVAI,RODONAVES,PR,7,INTERIOR
SAO PEDRO DO IVAI,RODONAVES,PR,7,INTERIOR
SARANDI,RODONAVES,PR,5,INTERIOR
DOBRADA,RODONAVES,SP,6,INTERIOR
MATAO,RODONAVES,SP,4,INTERIOR
MOTUCA,RODONAVES,SP,9,INTERIOR
SANTA ERNESTINA,RODONAVES,SP,6,INTERIOR
SAO LOURENCO DO TURVO,RODONAVES,SP,7,INTERIOR
ARCEBURGO,RODONAVES,MG,7,INTERIOR
CAMPESTRINHO,RODONAVES,SP,9,INTERIOR
CASA BRANCA,RODONAVES,SP,4,INTERIOR
DIVINOLANDIA,RODONAVES,SP,4,INTERIOR
IGARAI,RODONAVES,SP,9,INTERIOR
ITOBI,RODONAVES,SP,7,INTERIOR
LAGOA BRANCA,RODONAVES,SP,9,INTERIOR
MOCOCA,RODONAVES,SP,4,INTERIOR
SAO BENEDITO DAS AREIAS,RODONAVES,SP,9,INTERIOR
SAO JOSE DO RIO PARDO,RODONAVES,SP,4,INTERIOR
SAO SEBASTIAO DA GRAMA,RODONAVES,SP,6,INTERIOR
VARGEM GRANDE DO SUL,RODONAVES,SP,4,INTERIOR
VENDA BRANCA,RODONAVES,SP,9,INTERIOR
MINEIROS,RODONAVES,GO,5,INTERIOR
PEROLANDIA,RODONAVES,GO,7,INTERIOR
PORTELANDIA,RODONAVES,GO,7,INTERIOR
SANTA RITA DO ARAGUAIA,RODONAVES,GO,7,INTERIOR
ARTUR NOGUEIRA,RODONAVES,SP,4,INTERIOR
CONCHAL,RODONAVES,SP,4,INTERIOR
ENGENHEIRO COELHO,RODONAVES,SP,5,INTERIOR
ESTIVA GERBI,RODONAVES,SP,4,INTERIOR
HOLAMBRA,RODONAVES,SP,4,INTERIOR
ITAPIRA,RODONAVES,SP,4,INTERIOR
JACUTINGA,RODONAVES,MG,7,INTERIOR
MOGI GUACU,RODONAVES,SP,4,INTERIOR
MOGI MIRIM,RODONAVES,SP,4,INTERIOR
SANTO ANTONIO DE POSSE,RODONAVES,SP,5,INTERIOR
ANTONIO PRADO DE MINAS,RODONAVES,MG,15,INTERIOR
BARAO DE MONTE ALTO,RODONAVES,MG,7,INTERIOR
CATAGUASES,RODONAVES,MG,6,INTERIOR
EUGENOPOLIS,RODONAVES,MG,7,INTERIOR
ITAMARATI DE MINAS,RODONAVES,MG,15,INTERIOR
LARANJAL,RODONAVES,MG,7,INTERIOR
LEOPOLDINA,RODONAVES,MG,7,INTERIOR
MIRADOURO,RODONAVES,MG,9,INTERIOR
MIRAI,RODONAVES,MG,6,INTERIOR
MURIAE,RODONAVES,MG,7,INTERIOR
PALMA,RODONAVES,MG,15,INTERIOR
PATROCINIO DO MURIAE,RODONAVES,MG,7,INTERIOR
RECREIO,RODONAVES,MG,7,INTERIOR
ROSARIO DA LIMEIRA,RODONAVES,MG,15,INTERIOR
SANTANA DE CATAGUASES,RODONAVES,MG,15,INTERIOR
VIEIRAS,RODONAVES,MG,15,INTERIOR
ABRE CAMPO,RODONAVES,MG,16,INTERIOR
ALTO CAPARAO,RODONAVES,MG,16,INTERIOR
ALTO JEQUITIBA,RODONAVES,MG,16,INTERIOR
CAIANA,RODONAVES,MG,16,INTERIOR
CAPARAO,RODONAVES,MG,16,INTERIOR
CAPUTIRA,RODONAVES,MG,17,INTERIOR
CARANGOLA,RODONAVES,MG,7,INTERIOR
DIVINO,RODONAVES,MG,7,INTERIOR
DURANDE,RODONAVES,MG,16,INTERIOR
ESPERA FELIZ,RODONAVES,MG,7,INTERIOR
FARIA LEMOS,RODONAVES,MG,17,INTERIOR
FERVEDOURO,RODONAVES,MG,16,INTERIOR
MANHUACU,RODONAVES,MG,5,INTERIOR
MANHUMIRIM,RODONAVES,MG,7,INTERIOR
MARTINS SOARES,RODONAVES,MG,16,INTERIOR
MATIPO,RODONAVES,MG,17,INTERIOR
ORIZANIA,RODONAVES,MG,16,INTERIOR
PEDRA BONITA,RODONAVES,MG,19,INTERIOR
PEDRA DOURADA,RODONAVES,MG,19,INTERIOR
PIEDADE DE PONTE NOVA,RODONAVES,MG,17,INTERIOR
RAUL SOARES,RODONAVES,MG,17,INTERIOR
REDUTO,RODONAVES,MG,16,INTERIOR
RIO CASCA,RODONAVES,MG,17,INTERIOR
SANTA MARGARIDA,RODONAVES,MG,17,INTERIOR
SANTANA DO MANHUACU,RODONAVES,MG,7,INTERIOR
SANTO ANTONIO DO GRAMA,RODONAVES,MG,17,INTERIOR
SAO FRANCISCO DO GLORIA,RODONAVES,MG,17,INTERIOR
SAO JOAO DO MANHUACU,RODONAVES,MG,17,INTERIOR
SAO PEDRO DO AVAI,RODONAVES,MG,7,INTERIOR
SAO PEDRO DOS FERROS,RODONAVES,MG,15,INTERIOR
SERICITA,RODONAVES,MG,17,INTERIOR
SIMONESIA,RODONAVES,MG,17,INTERIOR
TOMBOS,RODONAVES,MG,16,INTERIOR
URUCANIA,RODONAVES,MG,17,INTERIOR
ARAUJOS,RODONAVES,MG,5,INTERIOR
BOA VISTA DE MINAS,RODONAVES,MG,5,INTERIOR
BOM DESPACHO,RODONAVES,MG,5,INTERIOR
CONCEICAO DO PARA,RODONAVES,MG,7,INTERIOR
NOVA SERRANA,RODONAVES,MG,5,INTERIOR
PERDIGAO,RODONAVES,MG,5,INTERIOR
PITANGUI,RODONAVES,MG,7,INTERIOR
ANDRE DA ROCHA,RODONAVES,RS,9,INTERIOR
CASCA,RODONAVES,RS,6,INTERIOR
COTIPORA,RODONAVES,RS,10,INTERIOR
EVANGELISTA,RODONAVES,RS,10,INTERIOR
FAGUNDES VARELA,RODONAVES,RS,9,INTERIOR
GUAPORE,RODONAVES,RS,5,INTERIOR
MONTAURI,RODONAVES,RS,10,INTERIOR
NOVA ARACA,RODONAVES,RS,5,INTERIOR
NOVA BASSANO,RODONAVES,RS,5,INTERIOR
NOVA PRATA,RODONAVES,RS,5,INTERIOR
PARAI,RODONAVES,RS,6,INTERIOR
PROTASIO ALVES,RODONAVES,RS,9,INTERIOR
SANTO ANTONIO DO PALMA,RODONAVES,RS,10,INTERIOR
SERAFINA CORREA,RODONAVES,RS,6,INTERIOR
UNIAO DA SERRA,RODONAVES,RS,10,INTERIOR
VERANOPOLIS,RODONAVES,RS,5,INTERIOR
VILA FLORES,RODONAVES,RS,5,INTERIOR
VISTA ALEGRE DO PRATA,RODONAVES,RS,9,INTERIOR
ARARICA,RODONAVES,RS,7,INTERIOR
BROCHIER,RODONAVES,RS,10,INTERIOR
CAMPO BOM,RODONAVES,RS,6,INTERIOR
CANELA,RODONAVES,RS,6,INTERIOR
CAPELA DE SANTANA,RODONAVES,RS,8,INTERIOR
DOIS IRMAOS,RODONAVES,RS,8,INTERIOR
ESTANCIA VELHA,RODONAVES,RS,6,INTERIOR
GRAMADO,RODONAVES,RS,6,INTERIOR
IGREJINHA,RODONAVES,RS,6,INTERIOR
IVOTI,RODONAVES,RS,8,INTERIOR
LINDOLFO COLLOR,RODONAVES,RS,10,INTERIOR
LINHA NOVA,RODONAVES,RS,10,INTERIOR
MARATA,RODONAVES,RS,10,INTERIOR
MONTENEGRO,RODONAVES,RS,8,INTERIOR
MORRO REUTER,RODONAVES,RS,10,INTERIOR
NOVA HARTZ,RODONAVES,RS,6,INTERIOR
NOVO HAMBURGO,RODONAVES,RS,6,INTERIOR
PARECI NOVO,RODONAVES,RS,8,INTERIOR
PAROBE,RODONAVES,RS,6,INTERIOR
PICADA CAFE,RODONAVES,RS,10,INTERIOR
PORTAO,RODONAVES,RS,6,INTERIOR
PRESIDENTE LUCENA,RODONAVES,RS,10,INTERIOR
RIOZINHO,RODONAVES,RS,10,INTERIOR
ROLANTE,RODONAVES,RS,6,INTERIOR
SANTA MARIA DO HERVAL,RODONAVES,RS,10,INTERIOR
SAO FRANCISCO DE PAULA,RODONAVES,RS,10,INTERIOR
SAO JOSE DO HORTENCIO,RODONAVES,RS,10,INTERIOR
SAO JOSE DO SUL,RODONAVES,RS,10,INTERIOR
SAO LEOPOLDO,RODONAVES,RS,6,INTERIOR
SAPIRANGA,RODONAVES,RS,6,INTERIOR
TAQUARA,RODONAVES,RS,6,INTERIOR
TRES COROAS,RODONAVES,RS,6,INTERIOR
SANTANA DO LIVRAMENTO,RODONAVES,RS,8,INTERIOR
ROSARIO DO SUL,RODONAVES,RS,8,INTERIOR
SANTA MARGARIDA DO SUL,RODONAVES,RS,10,INTERIOR
SAO GABRIEL,RODONAVES,RS,7,INTERIOR
VILA NOVA DO SUL,RODONAVES,RS,11,INTERIOR
CACEQUI,RODONAVES,RS,8,INTERIOR
CAPAO DO CIPO,RODONAVES,RS,10,INTERIOR
ITACURUBI,RODONAVES,RS,10,INTERIOR
JAGUARI,RODONAVES,RS,8,INTERIOR
MACAMBARA,RODONAVES,RS,10,INTERIOR
NOVA ESPERANCA DO SUL,RODONAVES,RS,8,INTERIOR
SANTIAGO,RODONAVES,RS,7,INTERIOR
SAO BORJA,RODONAVES,RS,7,INTERIOR
SAO FRANCISCO DE ASSIS,RODONAVES,RS,10,INTERIOR
SAO VICENTE DO SUL,RODONAVES,RS,8,INTERIOR
UNISTALDA,RODONAVES,RS,10,INTERIOR
ARROIO DO SAL,RODONAVES,RS,7,INTERIOR
BALNEARIO PINHAL,RODONAVES,RS,7,INTERIOR
CAPAO DA CANOA,RODONAVES,RS,6,INTERIOR
CAPIVARI DO SUL,RODONAVES,RS,7,INTERIOR
CARAA,RODONAVES,RS,8,INTERIOR
CIDREIRA,RODONAVES,RS,8,INTERIOR
DOM PEDRO DE ALCANTARA,RODONAVES,RS,8,INTERIOR
GLORINHA,RODONAVES,RS,6,INTERIOR
IMBE,RODONAVES,RS,6,INTERIOR
ITATI,RODONAVES,RS,8,INTERIOR
MAQUINE,RODONAVES,RS,7,INTERIOR
MORRINHOS DO SUL,RODONAVES,RS,8,INTERIOR
MOSTARDAS,RODONAVES,RS,10,INTERIOR
OSORIO,RODONAVES,RS,6,INTERIOR
PALMARES DO SUL,RODONAVES,RS,8,INTERIOR
SANTO ANTONIO DA PATRULHA,RODONAVES,RS,6,INTERIOR
TAVARES,RODONAVES,RS,10,INTERIOR
TERRA DE AREIA,RODONAVES,RS,7,INTERIOR
TORRES,RODONAVES,RS,6,INTERIOR
TRAMANDAI,RODONAVES,RS,6,INTERIOR
TRES CACHOEIRAS,RODONAVES,RS,7,INTERIOR
TRES FORQUILHAS,RODONAVES,RS,8,INTERIOR
XANGRI - LA,RODONAVES,RS,6,INTERIOR
CEU AZUL,RODONAVES,PR,7,INTERIOR
DIAMANTE D'OESTE,RODONAVES,PR,9,INTERIOR
ITAIPULANDIA,RODONAVES,PR,6,INTERIOR
MATELANDIA,RODONAVES,PR,7,INTERIOR
MEDIANEIRA,RODONAVES,PR,6,INTERIOR
MISSAL,RODONAVES,PR,6,INTERIOR
RAMILANDIA,RODONAVES,PR,10,INTERIOR
SANTA HELENA,RODONAVES,PR,6,INTERIOR
SAO MIGUEL DO IGUACU,RODONAVES,PR,6,INTERIOR
SERRANOPOLIS DO IGUACU,RODONAVES,PR,10,INTERIOR
VERA CRUZ DO OESTE,RODONAVES,PR,8,INTERIOR
ANCHIETA,RODONAVES,SC,9,INTERIOR
BANDEIRANTE,RODONAVES,SC,10,INTERIOR
BARRA BONITA,RODONAVES,SC,10,INTERIOR
BELMONTE,RODONAVES,SC,10,INTERIOR
CUNHA PORA,RODONAVES,SC,7,INTERIOR
DESCANSO,RODONAVES,SC,9,INTERIOR
FLOR DO SERTAO,RODONAVES,SC,10,INTERIOR
GUARACIABA,RODONAVES,SC,8,INTERIOR
GUARUJA DO SUL,RODONAVES,SC,8,INTERIOR
IPORA DO OESTE,RODONAVES,SC,8,INTERIOR
IRACEMINHA,RODONAVES,SC,10,INTERIOR
ITAPIRANGA,RODONAVES,SC,8,INTERIOR
MARAVILHA,RODONAVES,SC,7,INTERIOR
PARAISO,RODONAVES,SC,10,INTERIOR
PRINCESA,RODONAVES,SC,10,INTERIOR
ROMELANDIA,RODONAVES,SC,10,INTERIOR
SANTA HELENA,RODONAVES,SC,10,INTERIOR
SANTA TEREZINHA DO PROGRESSO,RODONAVES,SC,10,INTERIOR
SAO JOAO DO OESTE,RODONAVES,SC,10,INTERIOR
SAO JOSE DO CEDRO,RODONAVES,SC,6,INTERIOR
SAO MIGUEL DA BOA VISTA,RODONAVES,SC,10,INTERIOR
SAO MIGUEL DO OESTE,RODONAVES,SC,7,INTERIOR
TIGRINHOS,RODONAVES,SC,10,INTERIOR
TUNAPOLIS,RODONAVES,SC,10,INTERIOR
ADAMANTINA,RODONAVES,SP,4,INTERIOR
ARABELA,RODONAVES,SP,9,INTERIOR
DRACENA,RODONAVES,SP,6,INTERIOR
FLORA RICA,RODONAVES,SP,9,INTERIOR
FLORIDA PAULISTA,RODONAVES,SP,9,INTERIOR
GUARACIABA D'OESTE,RODONAVES,SP,10,INTERIOR
INUBIA PAULISTA,RODONAVES,SP,9,INTERIOR
IRAPURU,RODONAVES,SP,9,INTERIOR
JACIPORA,RODONAVES,SP,9,INTERIOR
JUNQUEIROPOLIS,RODONAVES,SP,9,INTERIOR
LUCELIA,RODONAVES,SP,5,INTERIOR
MARIAPOLIS,RODONAVES,SP,9,INTERIOR
MONTE CASTELO,RODONAVES,SP,9,INTERIOR
NOVA GUATAPORANGA,RODONAVES,SP,9,INTERIOR
OASIS,RODONAVES,SP,9,INTERIOR
OSVALDO CRUZ,RODONAVES,SP,5,INTERIOR
OURO VERDE,RODONAVES,SP,9,INTERIOR
PACAEMBU,RODONAVES,SP,9,INTERIOR
PANORAMA,RODONAVES,SP,6,INTERIOR
PARAPUA,RODONAVES,SP,5,INTERIOR
PAULICEIA,RODONAVES,SP,6,INTERIOR
PRACINHA,RODONAVES,SP,9,INTERIOR
SAGRES,RODONAVES,SP,9,INTERIOR
SALMOURAO,RODONAVES,SP,9,INTERIOR
SANTA MERCEDES,RODONAVES,SP,9,INTERIOR
SAO JOAO DO PAU D'ALHO,RODONAVES,SP,10,INTERIOR
TERRA NOVA D'OESTE,RODONAVES,SP,10,INTERIOR
TUPI PAULISTA,RODONAVES,SP,6,INTERIOR
ALMIRANTE TAMANDARE DO SUL,RODONAVES,RS,10,INTERIOR
BARRA FUNDA,RODONAVES,RS,6,INTERIOR
CHAPADA,RODONAVES,RS,8,INTERIOR
CONSTANTINA,RODONAVES,RS,8,INTERIOR
COQUEIROS DO SUL,RODONAVES,RS,8,INTERIOR
ENGENHO VELHO,RODONAVES,RS,8,INTERIOR
GRAMADO DOS LOUREIROS,RODONAVES,RS,10,INTERIOR
LIBERATO SALZANO,RODONAVES,RS,8,INTERIOR
NONOAI,RODONAVES,RS,8,INTERIOR
NOVA BOA VISTA,RODONAVES,RS,9,INTERIOR
NOVO BARREIRO,RODONAVES,RS,6,INTERIOR
NOVO XINGU,RODONAVES,RS,8,INTERIOR
PALMEIRA DAS MISSOES,RODONAVES,RS,7,INTERIOR
PONTAO,RODONAVES,RS,10,INTERIOR
RIO DOS INDIOS,RODONAVES,RS,10,INTERIOR
