Cidade,Transportadora,Prazo
BOTAFOGO,RODONAVES,5
CANDIDO RODRIGUES,RODONAVES,9
COLINA,RODONAVES,4
FERNANDO PRESTES,RODONAVES,9
IBITIUVA,RODONAVES,5
JABORANDI,RODONAVES,5
MONTE AZUL PAULISTA,RODONAVES,4
PIRANGI,RODONAVES,6
PITANGUEIRAS,RODONAVES,5
TAIACU,RODONAVES,6
TAIUVA,RODONAVES,6
TAQUARAL,RODONAVES,6
TERRA ROXA,RODONAVES,5
VIRADOURO,RODONAVES,5
VISTA ALEGRE DO ALTO,RODONAVES,6
BELO HORIZONTE,RODONAVES,7
BETIM,RODONAVES,7
BRUMADINHO,RODONAVES,9
CAETE,RODONAVES,11
CONFINS,RODONAVES,7
CONTAGEM,RODONAVES,7
ESMERALDAS,RODONAVES,11
FLORESTAL,RODONAVES,11
IBIRITE,RODONAVES,7
IGARAPE,RODONAVES,11
ITABIRITO,RODONAVES,11
ITATIAIUCU,RODONAVES,11
JUATUBA,RODONAVES,11
LAGOA SANTA,RODONAVES,7
MARIO CAMPOS,RODONAVES,9
MATEUS LEME,RODONAVES,11
NOVA LIMA,RODONAVES,7
NOVA UNIAO,RODONAVES,11
RAPOSOS,RODONAVES,11
RAVENA,RODONAVES,11
RIBEIRAO DAS NEVES,RODONAVES,7
RIO ACIMA,RODONAVES,11
SABARA,RODONAVES,11
SANTA LUZIA,RODONAVES,7
SAO JOAQUIM DE BICAS,RODONAVES,11
SARZEDO,RODONAVES,9
VESPASIANO,RODONAVES,7
ATIBAIA,RODONAVES,4
BATATUBA,RODONAVES,8
BOM JESUS DOS PERDOES,RODONAVES,6
BRAGANCA PAULISTA,RODONAVES,4
MORUNGABA,RODONAVES,8
NAZARE PAULISTA,RODONAVES,6
PEDRA BELA,RODONAVES,8
PINHALZINHO,RODONAVES,4
PIRACAIA,RODONAVES,8
SOCORRO,RODONAVES,4
TUIUTI,RODONAVES,8
ANHEMBI,RODONAVES,9
APARECIDA DE SAO MANUEL,RODONAVES,6
AREIOPOLIS,RODONAVES,4
BOFETE,RODONAVES,9
BOTUCATU,RODONAVES,4
ITATINGA,RODONAVES,6
LENCOIS PAULISTA,RODONAVES,4
PARDINHO,RODONAVES,9
PRATANIA,RODONAVES,6
SANTA MARIA DA SERRA,RODONAVES,9
SAO MANUEL,RODONAVES,4
AGUAS LINDAS DE GOIAS,RODONAVES,7
BRASILIA,RODONAVES,5
CIDADE OCIDENTAL,RODONAVES,6
FORMOSA,RODONAVES,5
LUZIANIA,RODONAVES,6
NOVO GAMA,RODONAVES,6
PADRE BERNARDO,RODONAVES,8
PLANALTINA,RODONAVES,8
VALPARAISO DE GOIAS,RODONAVES,6
CAMPINAS,RODONAVES,4
COSMOPOLIS,RODONAVES,4
HORTOLANDIA,RODONAVES,4
MONTE MOR,RODONAVES,4
NOVA VENEZA,RODONAVES,4
PAULINIA,RODONAVES,4
SUMARE,RODONAVES,4
BOA ESPERANCA,RODONAVES,4
CAMPO DO MEIO,RODONAVES,5
CAMPOS GERAIS,RODONAVES,4
GUAPE,RODONAVES,9
ILICINEA,RODONAVES,9
ANAHY,RODONAVES,9
ASSIS CHATEAUBRIAND,RODONAVES,8
BOA VISTA DA APARECIDA,RODONAVES,7
BRAGANEY,RODONAVES,9
CAFELANDIA,RODONAVES,7
CAMPO BONITO,RODONAVES,9
CAPITAO LEONIDAS MARQUES,RODONAVES,7
CASCAVEL,RODONAVES,5
CATANDUVAS,RODONAVES,7
CORBELIA,RODONAVES,7
DIAMANTE DO SUL,RODONAVES,10
ESPIGAO ALTO DO IGUACU,RODONAVES,8
FORMOSA DO OESTE,RODONAVES,9
GUARANIACU,RODONAVES,7
IBEMA,RODONAVES,7
IGUATU,RODONAVES,9
IRACEMA DO OESTE,RODONAVES,9
JESUITAS,RODONAVES,9
LINDOESTE,RODONAVES,7
NOVA AURORA,RODONAVES,7
QUEDAS DO IGUACU,RODONAVES,8
SANTA LUCIA,RODONAVES,9
SANTA TEREZA DO OESTE,RODONAVES,7
TRES BARRAS DO PARANA,RODONAVES,7
TUPASSI,RODONAVES,7
AGUANIL,RODONAVES,9
CAMPO BELO,RODONAVES,5
CANDEIAS,RODONAVES,7
CRISTAIS,RODONAVES,9
CATALAO,RODONAVES,5
GOIANDIRA,RODONAVES,5
IPAMERI,RODONAVES,9
OUVIDOR,RODONAVES,5
PIRES DO RIO,RODONAVES,9
URUTAI,RODONAVES,9
ARIRANHA,RODONAVES,5
CATANDUVA,RODONAVES,4
CATIGUA,RODONAVES,7
ELISIARIO,RODONAVES,5
EMBAUBA,RODONAVES,7
IBIRA,RODONAVES,4
IRAPUA,RODONAVES,7
ITAJOBI,RODONAVES,4
MARAPOAMA,RODONAVES,4
NOVAIS,RODONAVES,7
PALMARES PAULISTA,RODONAVES,7
PARAISO,RODONAVES,7
PINDORAMA,RODONAVES,4
SALES,RODONAVES,7
SANTA ADELIA,RODONAVES,4
TABAPUA,RODONAVES,7
URUPES,RODONAVES,4
ALPINOPOLIS,RODONAVES,6
ALTEROSA,RODONAVES,4
AREADO,RODONAVES,5
CARMO DO RIO CLARO,RODONAVES,4
CONCEICAO DA APARECIDA,RODONAVES,4
CIANORTE,RODONAVES,5
CIDADE GAUCHA,RODONAVES,7
GUAPOREMA,RODONAVES,7
INDIANOPOLIS,RODONAVES,7
JAPURA,RODONAVES,7
JUSSARA,RODONAVES,9
RONDON,RODONAVES,7
SAO MANOEL DO PARANA,RODONAVES,9
SAO TOME,RODONAVES,7
TAPEJARA,RODONAVES,6
TAPIRA,RODONAVES,7
TERRA BOA,RODONAVES,6
TUNEIRAS DO OESTE,RODONAVES,9
BELO VALE,RODONAVES,17
CARANAIBA,RODONAVES,17
CARANDAI,RODONAVES,11
CASA GRANDE,RODONAVES,17
CATAS ALTAS DA NORUEGA,RODONAVES,17
CONGONHAS,RODONAVES,8
CONSELHEIRO LAFAIETE,RODONAVES,7
CRISTIANO OTONI,RODONAVES,11
DESTERRO DE ENTRE RIOS,RODONAVES,17
ENTRE RIOS DE MINAS,RODONAVES,11
ITAVERAVA,RODONAVES,17
JECEABA,RODONAVES,11
LAMIM,RODONAVES,17
MARIANA,RODONAVES,7
OURO BRANCO,RODONAVES,8
OURO PRETO,RODONAVES,7
QUELUZITO,RODONAVES,15
RIO ESPERA,RODONAVES,17
SANTANA DOS MONTES,RODONAVES,17
SAO BRAS DO SUACUI,RODONAVES,11
SENHORA DE OLIVEIRA,RODONAVES,17
AIURUOCA,RODONAVES,15
ALAGOA,RODONAVES,15
BAEPENDI,RODONAVES,5
BOCAINA DE MINAS,RODONAVES,15
CARMO DE MINAS,RODONAVES,7
CARVALHOS,RODONAVES,15
CAXAMBU,RODONAVES,5
CONCEICAO DO RIO VERDE,RODONAVES,7
CRUZILIA,RODONAVES,6
DOM VICOSO,RODONAVES,19
ITAMONTE,RODONAVES,5
ITANHANDU,RODONAVES,5
LIBERDADE,RODONAVES,15
MINDURI,RODONAVES,9
PASSA QUATRO,RODONAVES,6
PASSA VINTE,RODONAVES,15
POUSO ALTO,RODONAVES,5
SAO LOURENCO,RODONAVES,5
SAO SEBASTIAO DO RIO VERD,RODONAVES,15
SERITINGA,RODONAVES,15
SERRANOS,RODONAVES,15
SOLEDADE DE MINAS,RODONAVES,7
VIRGINIA,RODONAVES,15
CAJURU,RODONAVES,4
CASSIA DOS COQUEIROS,RODONAVES,7
CRAVINHOS,RODONAVES,4
LUIS ANTONIO,RODONAVES,4
SANTA CRUZ DA ESPERANCA,RODONAVES,5
SANTA ROSA DE VITERBO,RODONAVES,4
SAO SIMAO,RODONAVES,4
SERRA AZUL,RODONAVES,7
SERRANA,RODONAVES,4
BELO ORIENTE,RODONAVES,11
CORONEL FABRICIANO,RODONAVES,8
GUANHAES,RODONAVES,12
IPATINGA,RODONAVES,8
ITABIRA,RODONAVES,9
JOAO MONLEVADE,RODONAVES,9
SANTA BARBARA,RODONAVES,12
SANTANA DO PARAISO,RODONAVES,11
TIMOTEO,RODONAVES,8
ARARANGUA,RODONAVES,5
BALNEARIO ARROIO DO SILVA,RODONAVES,5
BALNEARIO GAIVOTA,RODONAVES,5
BALNEARIO RINCAO,RODONAVES,5
COCAL DO SUL,RODONAVES,5
CRICIUMA,RODONAVES,5
ERMO,RODONAVES,5
FORQUILHINHA,RODONAVES,5
ICARA,RODONAVES,5
JACINTO MACHADO,RODONAVES,8
MAMPITUBA,RODONAVES,6
MARACAJA,RODONAVES,5
MELEIRO,RODONAVES,5
MORRO DA FUMACA,RODONAVES,5
MORRO GRANDE,RODONAVES,9
NOVA VENEZA,RODONAVES,5
PASSO DE TORRES,RODONAVES,6
PRAIA GRANDE,RODONAVES,6
SANTA ROSA DO SUL,RODONAVES,6
SAO JOAO DO SUL,RODONAVES,6
SIDEROPOLIS,RODONAVES,5
SOMBRIO,RODONAVES,5
TIMBE DO SUL,RODONAVES,9
TREVISO,RODONAVES,5
TURVO,RODONAVES,5
URUSSANGA,RODONAVES,5
ADRIANOPOLIS,RODONAVES,6
AGUDOS DO SUL,RODONAVES,6
ALMIRANTE TAMANDARE,RODONAVES,5
ANTONINA,RODONAVES,5
ARAUCARIA,RODONAVES,5
BALSA NOVA,RODONAVES,7
BOCAIUVA DO SUL,RODONAVES,6
BORDA DO CAMPO,RODONAVES,5
CAMPINA GRANDE DO SUL,RODONAVES,5
CAMPO LARGO,RODONAVES,5
CAMPO MAGRO,RODONAVES,5
CERRO AZUL,RODONAVES,6
COLOMBO,RODONAVES,5
CONTENDA,RODONAVES,5
CURITIBA,RODONAVES,5
DOUTOR ULYSSES,RODONAVES,6
FAZENDA RIO GRANDE,RODONAVES,5
GUARAQUECABA,RODONAVES,9
GUARATUBA,RODONAVES,9
ITAPERUCU,RODONAVES,5
LAPA,RODONAVES,5
MANDIRITUBA,RODONAVES,5
MATINHOS,RODONAVES,6
MORRETES,RODONAVES,5
PARANAGUA,RODONAVES,5
PINHAIS,RODONAVES,5
PIRAQUARA,RODONAVES,5
PONTAL DO PARANA,RODONAVES,5
QUATRO BARRAS,RODONAVES,5
QUITANDINHA,RODONAVES,5
RIO BRANCO DO SUL,RODONAVES,5
SAO JOSE DOS PINHAIS,RODONAVES,4
TIJUCAS DO SUL,RODONAVES,5
TUNAS DO PARANA,RODONAVES,6
ALTAMIRA DO PARANA,RODONAVES,9
ARARUNA,RODONAVES,6
BARBOSA FERRAZ,RODONAVES,9
BOA ESPERANCA,RODONAVES,9
CAMPINA DA LAGOA,RODONAVES,7
CAMPO MOURAO,RODONAVES,5
CORUMBATAI DO SUL,RODONAVES,9
ENGENHEIRO BELTRAO,RODONAVES,9
FAROL,RODONAVES,7
FENIX,RODONAVES,9
GOIOERE,RODONAVES,6
IRETAMA,RODONAVES,9
JANIOPOLIS,RODONAVES,7
JURANDA,RODONAVES,7
LUIZIANA,RODONAVES,9
MAMBORE,RODONAVES,7
MARILUZ,RODONAVES,9
MATO RICO,RODONAVES,9
MOREIRA SALES,RODONAVES,7
NOVA CANTU,RODONAVES,9
NOVA TEBAS,RODONAVES,9
PARANA D'OESTE,RODONAVES,10
PEABIRU,RODONAVES,6
QUARTO CENTENARIO,RODONAVES,10
QUINTA DO SOL,RODONAVES,9
RANCHO ALEGRE D'OESTE,RODONAVES,10
RONCADOR,RODONAVES,9
UBIRATA,RODONAVES,7
CARMO DA MATA,RODONAVES,7
CARMO DO CAJURU,RODONAVES,9
CARMOPOLIS DE MINAS,RODONAVES,9
CLAUDIO,RODONAVES,6
DIVINOPOLIS,RODONAVES,5
ITAGUARA,RODONAVES,9
MARILANDIA,RODONAVES,9
MONSENHOR JOAO ALEXANDRE,RODONAVES,9
OLIVEIRA,RODONAVES,6
SANTO ANTONIO DOS CAMPOS,RODONAVES,9
SAO GONCALO DO PARA,RODONAVES,9
SAO SEBASTIAO DO OESTE,RODONAVES,9
ALTO FELIZ,RODONAVES,8
ANTONIO PRADO,RODONAVES,6
BOM PRINCIPIO,RODONAVES,6
CAMBARA DO SUL,RODONAVES,10
CAXIAS DO SUL,RODONAVES,5
CRIUVA,RODONAVES,10
FARROUPILHA,RODONAVES,5
FAZENDA SOUZA,RODONAVES,10
FELIZ,RODONAVES,8
FLORES DA CUNHA,RODONAVES,6
HARMONIA,RODONAVES,8
IPE,RODONAVES,6
NOVA PADUA,RODONAVES,6
NOVA PETROPOLIS,RODONAVES,7
NOVA ROMA DO SUL,RODONAVES,10
OTAVIO ROCHA,RODONAVES,6
SANTA LUCIA DO PIAI,RODONAVES,10
SAO MARCOS,RODONAVES,6
SAO SEBASTIAO DO CAI,RODONAVES,6
SAO VENDELINO,RODONAVES,10
TUPANDI,RODONAVES,8
VALE REAL,RODONAVES,8
VILA CRISTINA,RODONAVES,6
VILA OLIVA,RODONAVES,10
VILA SECA,RODONAVES,10
AMARAL FERRADOR,RODONAVES,10
ARAMBARE,RODONAVES,10
BARAO DO TRIUNFO,RODONAVES,8
CAMAQUA,RODONAVES,6
CERRO GRANDE DO SUL,RODONAVES,8
CHUVISCA,RODONAVES,8
CRISTAL,RODONAVES,10
DOM FELICIANO,RODONAVES,8
MARIANA PIMENTEL,RODONAVES,8
SENTINELA DO SUL,RODONAVES,8
SERTAO SANTANA,RODONAVES,8
TAPES,RODONAVES,8
