Cidade,Transportadora,Prazo
RIBEIRAO CORRENTE,RODONAVES,9
RIFAINA,RODONAVES,9
AMPERE,RODONAVES,6
BARRACAO,RODONAVES,6
BELA VISTA DA CAROBA,RODONAVES,9
BOA ESPERANCA DO IGUACU,RODONAVES,9
BOM JESUS DO SUL,RODONAVES,7
CAPANEMA,RODONAVES,6
CRUZEIRO DO IGUACU,RODONAVES,9
DIONISIO CERQUEIRA,RODONAVES,6
DOIS VIZINHOS,RODONAVES,6
ENEAS MARQUES,RODONAVES,7
FLOR DA SERRA DO SUL,RODONAVES,9
FRANCISCO BELTRAO,RODONAVES,5
MANFRINOPOLIS,RODONAVES,9
MARMELEIRO,RODONAVES,5
NOVA ESPERANCA DO SUDOESTE,RODONAVES,9
NOVA PRATA DO IGUACU,RODONAVES,9
PALMA SOLA,RODONAVES,9
PEROLA D'OESTE,RODONAVES,8
PINHAL DE SAO BENTO,RODONAVES,9
PLANALTO,RODONAVES,9
PRANCHITA,RODONAVES,7
REALEZA,RODONAVES,6
RENASCENCA,RODONAVES,5
SALGADO FILHO,RODONAVES,9
SALTO DO LONTRA,RODONAVES,9
SANTA IZABEL DO OESTE,RODONAVES,7
SANTO ANTONIO DO SUDOESTE,RODONAVES,6
SAO JORGE D'OESTE,RODONAVES,10
ALPESTRE,RODONAVES,8
AMETISTA DO SUL,RODONAVES,8
BOA VISTA DAS MISSOES,RODONAVES,8
CAICARA,RODONAVES,8
CERRO GRANDE,RODONAVES,10
CRISTAL DO SUL,RODONAVES,10
DOIS IRMAOS DAS MISSOES,RODONAVES,10
ERVAL SECO,RODONAVES,10
FREDERICO WESTPHALEN,RODONAVES,6
IRAI,RODONAVES,8
JABOTICABA,RODONAVES,8
LAJEADO DO BUGRE,RODONAVES,10
NOVO TIRADENTES,RODONAVES,10
PALMITINHO,RODONAVES,10
PINHAL,RODONAVES,10
PINHEIRINHO DO VALE,RODONAVES,10
PLANALTO,RODONAVES,8
RODEIO BONITO,RODONAVES,10
SAGRADA FAMILIA,RODONAVES,10
SAO PEDRO DAS MISSOES,RODONAVES,10
SEBERI,RODONAVES,8
TAQUARUCU DO SUL,RODONAVES,10
VICENTE DUTRA,RODONAVES,8
VISTA ALEGRE,RODONAVES,10
CAMPO FLORIDO,RODONAVES,9
COLOMBIA,RODONAVES,6
CONCEICAO DAS ALAGOAS,RODONAVES,4
FRONTEIRA,RODONAVES,9
FRUTAL,RODONAVES,4
ITAPAGIPE,RODONAVES,6
PIRAJUBA,RODONAVES,9
PLANURA,RODONAVES,6
BARAO,RODONAVES,6
BENTO GONCALVES,RODONAVES,6
BOA VISTA DO SUL,RODONAVES,10
CARLOS BARBOSA,RODONAVES,6
CORONEL PILAR,RODONAVES,10
GARIBALDI,RODONAVES,6
MONTE BELO DO SUL,RODONAVES,10
PINTO BANDEIRA,RODONAVES,10
SALVADOR DO SUL,RODONAVES,6
SANTA TEREZA,RODONAVES,10
SAO PEDRO DA SERRA,RODONAVES,6
ABADIANIA,RODONAVES,8
ACREUNA,RODONAVES,8
ADELANDIA,RODONAVES,10
AGUA LIMPA,RODONAVES,10
ALEXANIA,RODONAVES,8
ALOANDIA,RODONAVES,8
AMERICANO DO BRASIL,RODONAVES,8
ANICUNS,RODONAVES,8
ARACU,RODONAVES,8
ARAGOIANIA,RODONAVES,8
AURILANDIA,RODONAVES,10
AVELINOPOLIS,RODONAVES,10
BELA VISTA DE GOIAS,RODONAVES,8
BONFINOPOLIS,RODONAVES,8
BRAZABRANTES,RODONAVES,10
BURITI DE GOIAS,RODONAVES,8
CACHOEIRA DE GOIAS,RODONAVES,10
CALCILANDIA,RODONAVES,10
CALDAZINHA,RODONAVES,8
CAMPESTRE DE GOIAS,RODONAVES,8
CAMPO LIMPO DE GOIAS,RODONAVES,8
CARMO DO RIO VERDE,RODONAVES,8
CATURAI,RODONAVES,8
CERES,RODONAVES,8
CEZARINA,RODONAVES,8
CHOUPANA,RODONAVES,10
COCALZINHO DE GOIAS,RODONAVES,8
CORREGO DO OURO,RODONAVES,8
CORUMBA DE GOIAS,RODONAVES,8
CRISTIANOPOLIS,RODONAVES,8
CROMINIA,RODONAVES,8
DAMOLANDIA,RODONAVES,8
DIOLANDIA,RODONAVES,10
EDEALINA,RODONAVES,8
EDEIA,RODONAVES,8
FIRMINOPOLIS,RODONAVES,8
GAMELEIRA DE GOIAS,RODONAVES,10
GOIANESIA,RODONAVES,8
GOIAS,RODONAVES,8
GUAPO,RODONAVES,8
GUARAITA,RODONAVES,10
HEITORAI,RODONAVES,8
HIDROLANDIA,RODONAVES,8
INDIARA,RODONAVES,8
ISRAELANDIA,RODONAVES,10
ITABERAI,RODONAVES,8
ITAGUARI,RODONAVES,8
ITAGUARU,RODONAVES,8
ITAPIRAPUA,RODONAVES,8
ITAPURANGA,RODONAVES,8
ITAUCU,RODONAVES,8
JANDAIA,RODONAVES,8
JARAGUA,RODONAVES,8
JESUPOLIS,RODONAVES,8
JOVIANIA,RODONAVES,8
LEOPOLDO DE BULHOES,RODONAVES,8
MAIRIPOTABA,RODONAVES,8
MOIPORA,RODONAVES,10
MOSSAMEDES,RODONAVES,10
NAZARIO,RODONAVES,8
NOVA VENEZA,RODONAVES,8
NOVO BRASIL,RODONAVES,8
OURO VERDE DE GOIAS,RODONAVES,8
PALMEIRAS DE GOIAS,RODONAVES,8
PALMELO,RODONAVES,10
PALMINOPOLIS,RODONAVES,8
PARAUNA,RODONAVES,8
PETROLINA DE GOIAS,RODONAVES,8
PIRACANJUBA,RODONAVES,8
PIRENOPOLIS,RODONAVES,8
PORTEIRAO,RODONAVES,10
POSSELANDIA,RODONAVES,8
PROFESSOR JAMIL,RODONAVES,8
RIALMA,RODONAVES,8
RIANAPOLIS,RODONAVES,8
SANCLERLANDIA,RODONAVES,8
SANTA BARBARA DE GOIAS,RODONAVES,8
SANTA CRUZ DE GOIAS,RODONAVES,10
SANTA RITA DO NOVO DESTINO,RODONAVES,10
SANTA ROSA DE GOIAS,RODONAVES,8
SANTO ANTONIO DA BARRA,RODONAVES,8
SANTO ANTONIO DE GOIAS,RODONAVES,8
SANTO ANTONIO DO DESCOBERTO,RODONAVES,8
SAO FRANCISCO DE GOIAS,RODONAVES,8
SAO JOAO DA PARAUNA,RODONAVES,8
SAO LUIS DE MONTES BELOS,RODONAVES,8
SAO MIGUEL DO PASSA QUATR,RODONAVES,8
SAO PATRICIO,RODONAVES,10
SILVANIA,RODONAVES,8
TAQUARAL DE GOIAS,RODONAVES,8
TURVANIA,RODONAVES,8
URUANA,RODONAVES,8
URUITA,RODONAVES,10
VARJAO,RODONAVES,8
VIANOPOLIS,RODONAVES,8
VICENTINOPOLIS,RODONAVES,8
VILA PROPICIO,RODONAVES,10
ABADIA DE GOIAS,RODONAVES,9
APARECIDA DE GOIANIA,RODONAVES,5
GOIANIA,RODONAVES,5
GOIANIRA,RODONAVES,9
INHUMAS,RODONAVES,7
NEROPOLIS,RODONAVES,9
SENADOR CANEDO,RODONAVES,5
TRINDADE,RODONAVES,7
AGUA FRIA DE GOIAS,RODONAVES,10
ALTO HORIZONTE,RODONAVES,10
ALTO PARAISO DE GOIAS,RODONAVES,10
ALVORADA DO NORTE,RODONAVES,10
AMARALINA,RODONAVES,10
AMORINOPOLIS,RODONAVES,10
ANHANGUERA,RODONAVES,10
APARECIDA DO RIO DOCE,RODONAVES,8
APORE,RODONAVES,10
ARAGARCAS,RODONAVES,8
ARAGUAPAZ,RODONAVES,8
ARENOPOLIS,RODONAVES,10
ARUANA,RODONAVES,8
BALIZA,RODONAVES,10
BARRO ALTO,RODONAVES,8
BOM JARDIM DE GOIAS,RODONAVES,8
BONOPOLIS,RODONAVES,10
BRITANIA,RODONAVES,8
BURITINOPOLIS,RODONAVES,10
CABECEIRAS,RODONAVES,10
CAIAPONIA,RODONAVES,8
CAMPINACU,RODONAVES,8
CAMPINORTE,RODONAVES,8
CAMPO ALEGRE DE GOIAS,RODONAVES,10
CAMPOS BELOS,RODONAVES,8
CAMPOS VERDES,RODONAVES,10
CASTELANDIA,RODONAVES,8
CAVALCANTE,RODONAVES,8
COLINAS DO SUL,RODONAVES,8
CORUMBAIBA,RODONAVES,8
CRIXAS,RODONAVES,8
CUMARI,RODONAVES,10
DAMIANOPOLIS,RODONAVES,10
DAVINOPOLIS,RODONAVES,8
DIORAMA,RODONAVES,10
DIVINOPOLIS DE GOIAS,RODONAVES,10
DOVERLANDIA,RODONAVES,8
ESTRELA DO NORTE,RODONAVES,10
FAINA,RODONAVES,8
FAZENDA NOVA,RODONAVES,8
FLORES DE GOIAS,RODONAVES,10
FORMOSO,RODONAVES,8
GOUVELANDIA,RODONAVES,10
GUARANI DE GOIAS,RODONAVES,10
GUARINOS,RODONAVES,10
HIDROLINA,RODONAVES,10
IACIARA,RODONAVES,10
INACIOLANDIA,RODONAVES,10
IPIRANGA DE GOIAS,RODONAVES,10
IPORA,RODONAVES,8
ITAPACI,RODONAVES,8
IVOLANDIA,RODONAVES,10
JAUPACI,RODONAVES,8
JUSSARA,RODONAVES,8
MAMBAI,RODONAVES,10
MARA ROSA,RODONAVES,8
MARZAGAO,RODONAVES,8
MATRINCHA,RODONAVES,10
MAURILANDIA,RODONAVES,8
MIMOSO DE GOIAS,RODONAVES,8
MINACU,RODONAVES,8
MONTE ALEGRE DE GOIAS,RODONAVES,8
MONTES CLAROS DE GOIAS,RODONAVES,8
MONTIVIDIU DO NORTE,RODONAVES,10
MORRO AGUDO DE GOIAS,RODONAVES,10
MOZARLANDIA,RODONAVES,10
MUNDO NOVO,RODONAVES,8
MUTUNOPOLIS,RODONAVES,10
NIQUELANDIA,RODONAVES,8
NOVA AMERICA,RODONAVES,10
NOVA AURORA,RODONAVES,10
NOVA CRIXAS,RODONAVES,8
NOVA GLORIA,RODONAVES,10
NOVA IGUACU DE GOIAS,RODONAVES,10
NOVA ROMA,RODONAVES,10
NOVO PLANALTO,RODONAVES,10
ORIZONA,RODONAVES,10
PALESTINA DE GOIAS,RODONAVES,8
PILAR DE GOIAS,RODONAVES,10
PIRANHAS,RODONAVES,8
PIRES BELO,RODONAVES,8
PORANGATU,RODONAVES,8
POSSE,RODONAVES,8
RUBIATABA,RODONAVES,8
SANTA FE DE GOIAS,RODONAVES,8
SANTA ISABEL,RODONAVES,10
SANTA TEREZA DE GOIAS,RODONAVES,8
SANTA TEREZINHA DE GOIAS,RODONAVES,8
SAO DOMINGOS,RODONAVES,10
SAO GABRIEL DE GOIAS,RODONAVES,10
SAO JOAO D'ALIANCA,RODONAVES,10
SAO LUIZ DO NORTE,RODONAVES,8
SAO MIGUEL DO ARAGUAIA,RODONAVES,8
SIMOLANDIA,RODONAVES,10
SITIO D'ABADIA,RODONAVES,10
SOUZALANDIA,RODONAVES,10
TERESINA DE GOIAS,RODONAVES,10
TRES RANCHOS,RODONAVES,10
TROMBAS,RODONAVES,8
TURVELANDIA,RODONAVES,8
UIRAPURU,RODONAVES,10
URUACU,RODONAVES,8
VILA BOA,RODONAVES,10
ALPERCATA,RODONAVES,9
CARATINGA,RODONAVES,7
DOM CAVATI,RODONAVES,9
ENGENHEIRO CALDAS,RODONAVES,9
GOVERNADOR VALADARES,RODONAVES,5
INHAPIM,RODONAVES,10
TARUMIRIM,RODONAVES,9
TEOFILO OTONI,RODONAVES,7
UBAPORANGA,RODONAVES,10
ARUJA,RODONAVES,4
BIRITIBA-MIRIM,RODONAVES,7
FERRAZ DE VASCONCELOS,RODONAVES,4
GUARULHOS,RODONAVES,4
ITAQUAQUECETUBA,RODONAVES,4
MAIRIPORA,RODONAVES,4
MAUA,RODONAVES,4
MOGI DAS CRUZES,RODONAVES,4
POA,RODONAVES,4
RIBEIRAO PIRES,RODONAVES,4
RIO GRANDE DA SERRA,RODONAVES,4
SALESOPOLIS,RODONAVES,6
SANTA ISABEL,RODONAVES,6
SANTO ANDRE,RODONAVES,4
SUZANO,RODONAVES,4
BOM JESUS DA PENHA,RODONAVES,9
CACONDE,RODONAVES,7
GUARANESIA,RODONAVES,4
GUAXUPE,RODONAVES,5
JURUAIA,RODONAVES,5
MUZAMBINHO,RODONAVES,6
NOVA RESENDE,RODONAVES,6
SAO PEDRO DA UNIAO,RODONAVES,9
TAPIRATIBA,RODONAVES,7
BOA VENTURA DE SAO ROQUE,RODONAVES,9
CAMPINA DO SIMAO,RODONAVES,9
CANDOI,RODONAVES,9
CANTAGALO,RODONAVES,8
ENTRE RIOS,RODONAVES,9
FOZ DO JORDAO,RODONAVES,9
GOIOXIM,RODONAVES,9
GUARA,RODONAVES,7
GUARAPUAVA,RODONAVES,5
INACIO MARTINS,RODONAVES,9
LARANJAL,RODONAVES,9
LARANJEIRAS DO SUL,RODONAVES,9
MARQUINHO,RODONAVES,9
NOVA LARANJEIRAS,RODONAVES,9
PALMITAL,RODONAVES,8
PINHAO,RODONAVES,9
PITANGA,RODONAVES,8
PORTO BARREIRO,RODONAVES,9
PRUDENTOPOLIS,RODONAVES,7
RESERVA DO IGUACU,RODONAVES,9
RIO BONITO DO IGUACU,RODONAVES,8
SANTA MARIA DO OESTE,RODONAVES,9
TURVO,RODONAVES,8
VIRMOND,RODONAVES,8
VITORIA,RODONAVES,10
APARECIDA,RODONAVES,4
ARAPEI,RODONAVES,9
AREIAS,RODONAVES,9
CACHOEIRA PAULISTA,RODONAVES,6
CANAS,RODONAVES,7
CRUZEIRO,RODONAVES,4
CUNHA,RODONAVES,9
GUARATINGUETA,RODONAVES,4
LAVRINHAS,RODONAVES,7
LORENA,RODONAVES,4
PIQUETE,RODONAVES,9
POTIM,RODONAVES,4
QUELUZ,RODONAVES,7
ROSEIRA,RODONAVES,8
SAO JOSE DO BARREIRO,RODONAVES,9
SILVEIRAS,RODONAVES,9
AREALVA,RODONAVES,7
BORBOREMA,RODONAVES,4
IACANGA,RODONAVES,7
IBITINGA,RODONAVES,4
ITAJU,RODONAVES,9
ITAPOLIS,RODONAVES,4
NOVO HORIZONTE,RODONAVES,4
PONGAI,RODONAVES,9
REGINOPOLIS,RODONAVES,7
TABATINGA,RODONAVES,4
URU,RODONAVES,9
ALTO ALEGRE,RODONAVES,10
BARROS CASSAL,RODONAVES,10
BOA VISTA DO INCRA,RODONAVES,10
CAMPOS BORGES,RODONAVES,10
COLORADO,RODONAVES,10
CRUZ ALTA,RODONAVES,7
ESPUMOSO,RODONAVES,7
ESTRELA VELHA,RODONAVES,10
FONTOURA XAVIER,RODONAVES,10
FORTALEZA DOS VALOS,RODONAVES,10
IBIRAPUITA,RODONAVES,10
IBIRUBA,RODONAVES,5
JACUIZINHO,RODONAVES,10
LAGOA DOS TRES CANTOS,RODONAVES,10
MORMACO,RODONAVES,10
NAO-ME-TOQUE,RODONAVES,6
QUINZE DE NOVEMBRO,RODONAVES,10
SALTO DO JACUI,RODONAVES,10
SAO JOSE DO HERVAL,RODONAVES,10
SELBACH,RODONAVES,6
SOLEDADE,RODONAVES,8
TAPERA,RODONAVES,6
TIO HUGO,RODONAVES,10
TUNAS,RODONAVES,10
VICTOR GRAEFF,RODONAVES,10
AJURICABA,RODONAVES,8
AUGUSTO PESTANA,RODONAVES,8
BOA VISTA DO CADEADO,RODONAVES,10
BOSSOROCA,RODONAVES,10
BOZANO,RODONAVES,7
CAIBATE,RODONAVES,8
CATUIPE,RODONAVES,8
CERRO LARGO,RODONAVES,7
CONDOR,RODONAVES,8
CORONEL BARROS,RODONAVES,7
DEZESSEIS DE NOVEMBRO,RODONAVES,10
ENTRE-IJUIS,RODONAVES,6
EUGENIO DE CASTRO,RODONAVES,10
GARRUCHOS,RODONAVES,10
GUARANI DAS MISSOES,RODONAVES,8
IJUI,RODONAVES,5
JOIA,RODONAVES,10
MATO QUEIMADO,RODONAVES,10
NOVA RAMADA,RODONAVES,10
PANAMBI,RODONAVES,6
PEJUCARA,RODONAVES,10
ROLADOR,RODONAVES,10
ROQUE GONZALES,RODONAVES,8
SALDANHA MARINHO,RODONAVES,10
SALVADOR DAS MISSOES,RODONAVES,8
SANTA BARBARA DO SUL,RODONAVES,10
SANTO ANGELO,RODONAVES,6
SANTO ANTONIO DAS MISSOES,RODONAVES,10
SAO LUIZ GONZAGA,RODONAVES,7
SAO MIGUEL DAS MISSOES,RODONAVES,8
SAO NICOLAU,RODONAVES,10
SAO PEDRO DO BUTIA,RODONAVES,8
SETE DE SETEMBRO,RODONAVES,10
VITORIA DAS MISSOES,RODONAVES,10
BALNEARIO CAMBORIU,RODONAVES,5
BALNEARIO PICARRAS,RODONAVES,7
BARRA VELHA,RODONAVES,7
BOMBINHAS,RODONAVES,8
CAMBORIU,RODONAVES,6
ILHOTA,RODONAVES,5
ITAJAI,RODONAVES,5
ITAPEMA,RODONAVES,6
NAVEGANTES,RODONAVES,5
PENHA,RODONAVES,7
PORTO BELO,RODONAVES,6
SAO JOAO DO ITAPERIU,RODONAVES,9
ALAMBARI,RODONAVES,6
ITAPETININGA,RODONAVES,4
PILAR DO SUL,RODONAVES,7
SAO MIGUEL ARCANJO,RODONAVES,6
SARAPUI,RODONAVES,7
IGARATINGA,RODONAVES,8
ITAUNA,RODONAVES,8
MARAVILHAS,RODONAVES,11
PAPAGAIOS,RODONAVES,11
PARA DE MINAS,RODONAVES,8
PEQUI,RODONAVES,11
SAO JOSE DA VARGINHA,RODONAVES,11
ITU,RODONAVES,4
SALTO,RODONAVES,4
ELIAS FAUSTO,RODONAVES,5
INDAIATUBA,RODONAVES,4
CAMPINA VERDE,RODONAVES,9
CAPINOPOLIS,RODONAVES,7
GURINHATA,RODONAVES,9
ITUIUTABA,RODONAVES,5
MONTE ALEGRE DE MINAS,RODONAVES,7
PRATA,RODONAVES,7
SANTA VITORIA,RODONAVES,7
SAO SIMAO,RODONAVES,7
ARAPORA,RODONAVES,9
BOM JESUS DE GOIAS,RODONAVES,7
BURITI ALEGRE,RODONAVES,9
CACHOEIRA DOURADA,RODONAVES,9
CALDAS NOVAS,RODONAVES,6
CANAPOLIS,RODONAVES,9
CENTRALINA,RODONAVES,9
GOIATUBA,RODONAVES,6
ITUMBIARA,RODONAVES,5
MORRINHOS,RODONAVES,6
PANAMA,RODONAVES,7
PONTALINA,RODONAVES,9
RIO QUENTE,RODONAVES,9
TUPACIGUARA,RODONAVES,9
GUARIBA,RODONAVES,5
GUARIROBA,RODONAVES,9
GUATAPARA,RODONAVES,9
JABOTICABAL,RODONAVES,4
MONTE ALTO,RODONAVES,4
PRADOPOLIS,RODONAVES,6
TAQUARITINGA,RODONAVES,4
CORUPA,RODONAVES,7
GUARAMIRIM,RODONAVES,5
JARAGUA DO SUL,RODONAVES,5
MASSARANDUBA,RODONAVES,6
SCHROEDER,RODONAVES,5
ALTINOPOLIS,RODONAVES,4
BATATAIS,RODONAVES,4
BRODOWSKI,RODONAVES,4
JARDINOPOLIS,RODONAVES,4
JURUCE,RODONAVES,5
MORRO AGUDO,RODONAVES,4
NUPORANGA,RODONAVES,7
SALES OLIVEIRA,RODONAVES,6
ORLANDIA,RODONAVES,4
CHAPADAO DO CEU,RODONAVES,6
JATAI,RODONAVES,5
SERRANOPOLIS,RODONAVES,6
BARIRI,RODONAVES,4
BARRA BONITA,RODONAVES,4
BOCAINA,RODONAVES,6
BORACEIA,RODONAVES,9
DOIS CORREGOS,RODONAVES,4
GUARAPUA,RODONAVES,9
IGARACU DO TIETE,RODONAVES,4
ITAPUI,RODONAVES,4
JAU,RODONAVES,4
MINEIROS DO TIETE,RODONAVES,6
TORRINHA,RODONAVES,7
AGUA DOCE,RODONAVES,7
ALTO BELA VISTA,RODONAVES,9
ARABUTA,RODONAVES,9
ARROIO TRINTA,RODONAVES,6
CACADOR,RODONAVES,5
CALMON,RODONAVES,9
CAMPOS NOVOS,RODONAVES,7
CAPINZAL,RODONAVES,7
CATANDUVAS,RODONAVES,6
CONCORDIA,RODONAVES,6
ERVAL VELHO,RODONAVES,6
FRAIBURGO,RODONAVES,5
HERVAL D OESTE,RODONAVES,5
IBIAM,RODONAVES,9
IBICARE,RODONAVES,6
IOMERE,RODONAVES,5
IPIRA,RODONAVES,7
IPUMIRIM,RODONAVES,9
IRANI,RODONAVES,6
ITA,RODONAVES,9
JABORA,RODONAVES,7
JOACABA,RODONAVES,5
LACERDOPOLIS,RODONAVES,6
LEBON REGIS,RODONAVES,9
LINDOIA DO SUL,RODONAVES,9
LUZERNA,RODONAVES,5
MACIEIRA,RODONAVES,9
MATOS COSTA,RODONAVES,9
MONTE CARLO,RODONAVES,9
OURO,RODONAVES,6
PERITIBA,RODONAVES,9
PINHEIRO PRETO,RODONAVES,6
PIRATUBA,RODONAVES,7
PRESIDENTE CASTELO BRANCO,RODONAVES,10
RIO DAS ANTAS,RODONAVES,5
SALTO VELOSO,RODONAVES,6
SEARA,RODONAVES,7
TANGARA,RODONAVES,6
TREZE TILIAS,RODONAVES,6
VARGEM,RODONAVES,9
VARGEM BONITA,RODONAVES,7
VIDEIRA,RODONAVES,5
XAVANTINA,RODONAVES,9
ZORTEA,RODONAVES,9
ARAQUARI,RODONAVES,5
BALNEARIO BARRA DO SUL,RODONAVES,9
GARUVA,RODONAVES,7
ITAPOA,RODONAVES,7
ITAPOCU,RODONAVES,9
JOINVILLE,RODONAVES,5
SAO FRANCISCO DO SUL,RODONAVES,7
ALEM PARAIBA,RODONAVES,19
ANDRELANDIA,RODONAVES,9
ARANTINA,RODONAVES,9
ARGIRITA,RODONAVES,15
BELMIRO BRAGA,RODONAVES,15
BICAS,RODONAVES,6
BOM JARDIM DE MINAS,RODONAVES,9
CHACARA,RODONAVES,15
CHIADOR,RODONAVES,15
CORONEL PACHECO,RODONAVES,6
DESCOBERTO,RODONAVES,15
ESTRELA DALVA,RODONAVES,15
EWBANK DA CAMARA,RODONAVES,7
GOIANA,RODONAVES,6
GUARARA,RODONAVES,6
JUIZ DE FORA,RODONAVES,5
LIMA DUARTE,RODONAVES,9
MAR DE ESPANHA,RODONAVES,5
MARIPA DE MINAS,RODONAVES,9
MATIAS BARBOSA,RODONAVES,7
OLARIA,RODONAVES,15
PEDRO TEIXEIRA,RODONAVES,15
PEQUERI,RODONAVES,9
PIAU,RODONAVES,15
PIRAPETINGA,RODONAVES,15
RIO NOVO,RODONAVES,6
RIO PRETO,RODONAVES,14
ROCHEDO DE MINAS,RODONAVES,6
SANTA BARBARA DO MONTE VERDE,RODONAVES,14
SANTA RITA DE JACUTINGA,RODONAVES,14
SANTANA DO DESERTO,RODONAVES,15
SANTO ANTONIO DO AVENTUREIRO,RODONAVES,15
SANTOS DUMONT,RODONAVES,7
SAO JOAO NEPOMUCENO,RODONAVES,6
SAO VICENTE DE MINAS,RODONAVES,9
SENADOR CORTES,RODONAVES,9
SIMAO PEREIRA,RODONAVES,15
VOLTA GRANDE,RODONAVES,9
CABREUVA,RODONAVES,4
CAJAMAR,RODONAVES,4
CAMPO LIMPO PAULISTA,RODONAVES,4
ITATIBA,RODONAVES,4
ITUPEVA,RODONAVES,4
JACARE,RODONAVES,4
JARINU,RODONAVES,5
JORDANESIA,RODONAVES,5
JUNDIAI,RODONAVES,4
VARZEA PAULISTA,RODONAVES,5
BOM SUCESSO,RODONAVES,7
CANA VERDE,RODONAVES,9
CARMO DA CACHOEIRA,RODONAVES,9
CARRANCAS,RODONAVES,19
IBITURUNA,RODONAVES,19
IJACI,RODONAVES,9
INGAI,RODONAVES,19
ITUMIRIM,RODONAVES,9
ITUTINGA,RODONAVES,9
LAVRAS,RODONAVES,5
LUMINARIAS,RODONAVES,9
NAZARENO,RODONAVES,9
NEPOMUCENO,RODONAVES,6
PERDOES,RODONAVES,5
RIBEIRAO VERMELHO,RODONAVES,7
SANTANA DO JACARE,RODONAVES,9
SANTO ANTONIO DO AMPARO,RODONAVES,7
ABDON BATISTA,RODONAVES,9
ALFREDO WAGNER,RODONAVES,5
ANITA GARIBALDI,RODONAVES,7
BOCAINA DO SUL,RODONAVES,7
BOM JARDIM DA SERRA,RODONAVES,9
BOM RETIRO,RODONAVES,5
BRUNOPOLIS,RODONAVES,9
CAMPO BELO DO SUL,RODONAVES,7
CAPAO ALTO,RODONAVES,7
CELSO RAMOS,RODONAVES,9
CERRO NEGRO,RODONAVES,7
CORREIA PINTO,RODONAVES,5
CURITIBANOS,RODONAVES,5
FREI ROGERIO,RODONAVES,9
LAGES,RODONAVES,5
OTACILIO COSTA,RODONAVES,5
PAINEL,RODONAVES,5
PALMEIRA,RODONAVES,5
PONTE ALTA,RODONAVES,5
PONTE ALTA DO NORTE,RODONAVES,7
RIO RUFINO,RODONAVES,7
SANTA CECILIA,RODONAVES,7
SAO CRISTOVAO DO SUL,RODONAVES,7
SAO JOAQUIM,RODONAVES,5
SAO JOSE DO CERRITO,RODONAVES,7
TIMBO GRANDE,RODONAVES,9
URUBICI,RODONAVES,5
URUPEMA,RODONAVES,7
BARRACAO,RODONAVES,8
CACIQUE DOBLE,RODONAVES,8
CAPAO BONITO DO SUL,RODONAVES,10
CASEIROS,RODONAVES,7
CIRIACO,RODONAVES,9
DAVID CANABARRO,RODONAVES,9
GUABIJU,RODONAVES,9
IBIRAIARAS,RODONAVES,7
LAGOA VERMELHA,RODONAVES,5
MACHADINHO,RODONAVES,10
MAXIMILIANO DE ALMEIDA,RODONAVES,8
MULITERNO,RODONAVES,9
PAIM FILHO,RODONAVES,8
SANANDUVA,RODONAVES,7
SANTO EXPEDITO DO SUL,RODONAVES,10
SAO DOMINGOS DO SUL,RODONAVES,10
SAO JOAO DA URTIGA,RODONAVES,8
SAO JORGE,RODONAVES,9
SAO JOSE DO OURO,RODONAVES,8
TUPANCI DO SUL,RODONAVES,10
VANINI,RODONAVES,10
ANTA GORDA,RODONAVES,10
ARROIO DO MEIO,RODONAVES,6
ARVOREZINHA,RODONAVES,10
BOM RETIRO DO SUL,RODONAVES,8
BOQUEIRAO DO LEAO,RODONAVES,8
CANUDOS DO VALE,RODONAVES,10
CAPITAO,RODONAVES,10
COLINAS,RODONAVES,10
COQUEIRO BAIXO,RODONAVES,10
CRUZEIRO DO SUL,RODONAVES,6
DOIS LAJEADOS,RODONAVES,10
DOUTOR RICARDO,RODONAVES,10
ENCANTADO,RODONAVES,6
ESTRELA,RODONAVES,5
FAZENDA VILANOVA,RODONAVES,10
FORQUETINHA,RODONAVES,8
GRAMADO XAVIER,RODONAVES,10
ILOPOLIS,RODONAVES,10
IMIGRANTE,RODONAVES,10
ITAPUCA,RODONAVES,10
LAJEADO,RODONAVES,5
MARQUES DE SOUZA,RODONAVES,8
MATO LEITAO,RODONAVES,10
MUCUM,RODONAVES,7
NOVA BRESCIA,RODONAVES,10
PAVERAMA,RODONAVES,10
POCO DAS ANTAS,RODONAVES,10
POUSO NOVO,RODONAVES,10
PROGRESSO,RODONAVES,7
PUTINGA,RODONAVES,10
RELVADO,RODONAVES,10
ROCA SALES,RODONAVES,6
SANTA CLARA DO SUL,RODONAVES,8
SAO VALENTIM DO SUL,RODONAVES,10
SERIO,RODONAVES,10
TABAI,RODONAVES,10
TAQUARI,RODONAVES,10
TEUTONIA,RODONAVES,6
TRAVESSEIRO,RODONAVES,8
VESPASIANO CORREA,RODONAVES,10
WESTFALIA,RODONAVES,7
IRACEMAPOLIS,RODONAVES,4
LIMEIRA,RODONAVES,4
ALTO ALEGRE,RODONAVES,9
AVAI,RODONAVES,9
AVANHANDAVA,RODONAVES,6
BALBINOS,RODONAVES,9
BARBOSA,RODONAVES,9
CAFELANDIA,RODONAVES,6
GETULINA,RODONAVES,9
GUAICARA,RODONAVES,6
GUAIMBE,RODONAVES,9
GUARANTA,RODONAVES,6
LINS,RODONAVES,5
LUIZIANIA,RODONAVES,9
PENAPOLIS,RODONAVES,6
PIRAJUI,RODONAVES,6
PRESIDENTE ALVES,RODONAVES,9
